,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,ASK,Unnamed: 7,Unnamed: 8,DEAL,Unnamed: 10,Unnamed: 11,Royalty Deal?,Barbara,Mark,Lori,Robert Herjavec,Daymond,Kevin,Guest,# Sharks,$ per shark,Details / Notes,Description,url1,url2,url3,url4,url5,company_lower
509,7.0,4.0,Table 87,Yes,Food and Beverage,Male,"$200,000 ",10%,"$2,000,000 ","$250,000 ",20%,"$1,250,000 ",N,,,1,,,,,1.0,"$250,000 ",,Brooklyn-based Table 87 Coal Oven Pizza entered the Shark Tank with their frozen pizza slices. We interviewed the owner about his business.,http://heavy.com/news/2015/10/table-87-pizza-frozen-shark-tank-products-episodes-season-7/,http://sharktankblog.com/coal-oven-pizza-from-table-87/,http://www.business2community.com/social-buzz/shark-tank-lori-greiner-takes-a-piece-of-the-pie-for-table-87-frozen-coal-oven-pizza-makes-250000-deal-01355602,http://www.table87.com/,https://lockerdome.com/business2community.com/8128919916255508,table87
510,7.0,4.0,EZ Pee Z,No,Children / Education,Male,,,,,,,,,,,,,,,,,,"""Dadtrepreneur"" Brian Kleinschmidt hopes the Sharks join the potty and invest in EZ Pee Z, ... EZ Pee Z Shark Tank Recap. ... Facebook. Twitter. Video.",http://sharktankblog.com/business/ez-pee-z/,http://www.business2community.com/social-buzz/shark-tank-ez-pee-z-fails-to-get-a-deal-sharks-cite-too-many-problems-01355619,http://sharktanksuccess.blogspot.com/2015/10/ez-pee-z-potty-seast.html,https://lockerdome.com/business2community.com/8131157124465172,http://heavy.com/news/2015/10/ez-pee-z-potty-training-lid-shark-tank-products-episodes-season-7/,ezpeez
511,7.0,4.0,milk + brookies,No,Food and Beverage,Mixed Team,"$100,000 ",20%,"$500,000 ",,,,,,,,,,,,,,,Brownies + Cookies = Brookies – Milk and Brookies. ... Milk and Brookies Facebook page is still a ... All New #SharkTank tonight with @BelovedShirts @illumibowl @ ...,http://sharktankblog.com/brownies-cookies-brookies-milk-and-brookies/,http://heavy.com/news/2015/10/milk-and-brookies-brownie-cookies-shark-tank-products-episodes-season-7/,http://heavy.com/news/2015/12/milk-and-brookies-shark-tank-cookies-brownies-products-episodes-season-7/,http://www.business2community.com/social-buzz/shark-tank-milk-brookies-entices-the-sharks-but-leaves-without-a-bite-01355632,http://allsharktankproducts.com/shark-tank-products-food-and-drink/brookies-milk-cookie-meets-brownie/,milk+brookies
512,7.0,4.0,Dude Wipes,Yes,Lifestyle / Home,Male,"$300,000 ",10%,"$3,000,000 ","$300,000 ",25%,"$1,200,000 ",N,,1,,,,,,1.0,"$300,000 ",,"Dude Wipes are priced a tad higher than baby wipes and about the same as most branded feminine products made for the same (or regionally similar) purposes, so if I ...",http://sharktankblog.com/dude-products-dude-wipes/,http://heavy.com/news/2015/10/dude-wipes-men-shark-tank-products-episodes-season-7/,http://www.undershirtguy.com/dude-wipes-on-shark-tank/,https://www.facebook.com/DudeWipes,http://www.inquisitr.com/2502532/dude-wipes-on-shark-tank-get-300000-deal-for-poop-and-pit-wipes-for-dudes-spoilers/,dudewipes
513,7.0,5.0,Three Jerks Jerky,Yes,Food and Beverage,Male,"$100,000 ",15%,"$666,667 ","$100,000 ",15%,"$666,667 ",N,,,,,1,,,1.0,"$100,000 ",with option to buy another 15% for 100K,"To connect with Three Jerks Jerky, sign up for Facebook today. ... Just buy any flavor of Three Jerks Jerky for a chance to strike ... Tune in to Shark Tank this ...",https://www.facebook.com/ThreeJerksJerky,http://sharktankblog.com/business/three-jerks-beef-jerky/,https://www.facebook.com/ThreeJerksJerky/videos/926231760797448/,https://inthefame.com/tv/three-jerks-jerky-shark-tank/,http://www.inquisitr.com/2520056/shark-tank-three-jerks-jerky-adds-a-new-jerk-as-daymond-john-invests/,threejerksjerky
514,7.0,5.0,The Skinny Mirror,No,Fashion / Beauty,Female,"$200,000 ",20%,"$1,000,000 ",,,,,,,,,,,,,,,"The Skinny Mirror, Sand City, ... The Skinny Mirror is on Facebook. ... You Can Buy The Skinny Mirror From 'Shark Tank' Now, ...",https://www.facebook.com/TheSkinnyMirror,https://www.theskinnymirrors.com/shark-tank-the-skinny-mirror/,https://inthefame.com/tv/the-skinny-mirror-shark-tank/,https://www.facebook.com/TheSkinnyMirror/timeline,http://heavy.com/news/2015/10/skinny-mirror-shark-tank-products-episodes-season-7/,theskinnymirror
515,7.0,5.0,Switch Witch,No,Children / Education,Mixed Team,"$55,000 ",25%,"$220,000 ",,,,,,,,,,,,,,,"The Switch Witch Halloween book and doll brings a magical, fun tradition to your family and solves the problem of too much candy in a way that kids love!",http://switch-witch.com/,https://www.facebook.com/TheOriginalSwitchWitch,http://switch-witch.com/watch-switch-witch-on-shark-tank/,http://www.salemnews.com/news/business/switch-witch-fed-to-the-sharks-on-shark-tank/article_a6438f29-94b2-5d88-a1ac-95c63e2d3128.html,http://www.productsofsharktank.com/product/switch-witch/,switchwitch
516,7.0,5.0,X Craft,Yes,Software / Tech,Male,"$500,000 ",20%,"$2,500,000 ","$1,500,000 ",25%,"$6,000,000 ",N,,1,1,1.0,1,1,,5.0,"$300,000 ",,"The X-Craft coming to the Shark Tank in Episode 705 is a cross between a Drone, ... X Craft UAV Website FaceBook Twitter. Email This BlogThis!",http://sharktanksuccess.blogspot.com/2015/10/xcraft-drone.html,http://sharktankblog.com/xcraft-drone-xplusone/,https://www.facebook.com/tanexcraft/,http://abc.go.com/shows/shark-tank/,http://heavy.com/news/2015/10/x-craft-drones-shark-tank-products-episodes-season-7/,xcraft
517,7.0,6.0,Rent Like a Champ,Yes,Software / Tech,Male,"$200,000 ",10%,"$2,000,000 ","$200,000 ",10%,"$2,000,000 ",N,,1,,,,,1.0,2.0,"$100,000 ",Chris Sacca as guest shark,"Shark Tank Season 7 Episode 6 After Party (Chris Sacca) : Rent Like A Champ, HotShot, ... //www.facebook.com ... Rent Like A CHAMPION Shark Tank Update ...",http://www.youtube.com/watch?v=f1i3i408fuw,https://rentlikeachampion.com/,http://intohunt.com/music/shark-tank-season-7-episode-6-30-october.html,http://sharktankblog.com/rent-like-a-champ-interview-drew-mitchell-mike-doyle/,http://www.youtube.com/watch?v=73TGKLNt4Bk,rentlikeachamp
518,7.0,6.0,Hotshot,No,Food and Beverage,Male,"$300,000 ",10%,"$3,000,000 ",,,,,,,,,,,,0.0,,,"Entrepreneur Danny Grossfeld pitches HotShot, a line of ready to drink hot coffee in a can, in Shark Tank episode 704. Will a Shark take a shot on HotShot?",http://sharktankblog.com/business/hotshot/,https://www.facebook.com/Hotshot-72412905711/,http://heavy.com/news/2015/10/hot-shot-coffee-can-shark-tank-products-episodes-season-7/,http://allsharktankproducts.com/shark-tank-products-food-and-drink/hotshot-hot-coffee-in-a-can/,http://sharktanksuccess.blogspot.ca/2015/10/hotshot-coffee-in-can.html,hotshot
519,7.0,6.0,Windcatcher,Yes,Lifestyle / Home,Male,"$200,000 ",8%,"$2,500,000 ","$200,000 ",5%,"$4,000,000 ",N,,,1,,,,,1.0,"$200,000 ",Plus she'll fund purchase orders,"Windcatcher, Portland, OR. 1,370 ... Get updates from Windcatcher on Facebook. ... It has been a wild year, topped up when our founder's ‪#‎ sharktank ...",https://www.facebook.com/windcatchergear,http://sharktankblog.com/business/windcatcher/,http://www.inquisitr.com/2534947/shark-tank-windcatcher-gets-deal-with-lori-greiner/,http://heavy.com/news/2015/10/windcatcher-shark-tank-inflate-valve-products-episodes-season-7/,http://www.business2community.com/social-buzz/shark-tank-windcatcher-inflation-device-receives-deal-from-lori-greiner-for-200000-01367271,windcatcher
520,7.0,6.0,Stem Center USA,Yes,Children / Education,Female,"$150,000 ",15%,"$1,000,000 ","$200,000 ",20%,"$1,000,000 ",N,,,1,,,,,1.0,,,"As featured on Shark Tank ... STEM Center USA provides students with an experiential education that excites, ... Find a STEM Center near you! Dig ...",http://www.stemcenterusa.com/,http://www.whatsonsharktank.com/profiles/stem-center-usa,http://www.business2community.com/social-buzz/shark-tank-lori-greiner-invests-in-stem-center-usa-for-200000-01367277,https://hiddenprofitprophet.com/2015/10/stem-center-usa-on-abc-shark-tank/,https://www.facebook.com/STEMCenterUSA,stemcenterusa
521,7.0,7.0,Wink Frozen Desserts,No,Food and Beverage,Mixed Team,"$300,000 ",15%,"$2,000,000 ",,,,,,,,,,,,0.0,,,"Wink Frozen Desserts. 8,474 likes · 143 talking about this. ... To connect with Wink Frozen Desserts, sign up for Facebook today. ... wink emoticon.",https://www.facebook.com/winkfrozendesserts,http://sharktankblog.com/business/wink-frozen-desserts/,http://heavy.com/news/2015/11/wink-frozen-desserts-shark-tank-ice-cream-gluten-free-vegan-products-episodes-season-7/,http://www.whatsonsharktank.com/profiles/wink-frozen-desserts,http://sharktanksuccess.blogspot.com/2015/11/wink-frozen-desserts.html,winkfrozendesserts
